bucket,n_pairs,mean_spearman,mean_topk_overlap
same-fam-capacity,2,0.6627,0.2311
same-fam-placement,28,0.4533,0.1369
cross-family,26,0.2603,0.0724
intra-PEFT (noise floor),96,0.7874,0.3197
