bucket,n_pairs,mean_spearman,mean_topk_overlap
same-fam-capacity,2,0.6030,0.1775
same-fam-placement,28,0.4278,0.1196
cross-family,26,0.2707,0.0711
intra-PEFT (noise floor),96,0.7000,0.2762
